Name,Date,Country
Michelle Smith,2024-12-02,Palau
Kyle Bennett,2024-12-17,Papua New Guinea
Russell Young,2024-12-17,Burkina Faso
Dean Washington,2025-02-08,Croatia
Sarah Fisher,2025-01-04,Norfolk Island
Michelle Kelly,2024-12-31,United Arab Emirates
Christina Wilkerson,2024-12-01,Namibia
Melissa Suarez,2024-12-16,Netherlands Antilles
Christopher Lambert,2025-01-01,Djibouti
Steven Krueger,2025-02-03,French Polynesia
Madison Thompson,2024-12-22,Singapore
John Larson,2025-01-12,Korea
William Brown,2025-01-03,Northern Mariana Islands
Carmen Martin,2025-02-14,Afghanistan
Brian Moran,2024-12-19,Micronesia
Brooke Jordan,2024-12-28,Austria
Shawn Molina,2024-12-15,United Kingdom
Cynthia Johnson,2024-12-27,Macao
Dr. Emily White,2025-02-18,Turkey
Lisa Davis,2024-12-25,Hungary
Jordan Horn,2025-01-04,Cuba
Deborah Huynh,2024-11-28,Saint Lucia
Joseph Mata,2024-12-06,Congo
Phillip Craig,2025-01-29,Sweden
Christopher Johnson,2025-02-15,Mauritania
Tabitha Pollard,2025-02-17,Slovenia
Jason Calderon,2024-12-25,Djibouti
Amy Johnson,2025-01-26,Thailand
Glen Brennan,2024-12-17,Slovenia
Thomas Arnold PhD,2024-12-07,Afghanistan
Rachel Mckinney,2025-01-23,Angola
John Evans,2025-02-05,Bolivia
Cody Lloyd,2025-02-08,North Macedonia
Thomas Collins,2024-11-28,Tunisia
David Turner,2025-01-18,Algeria
Ryan Ball,2024-12-26,United States of America
Maria Smith,2024-12-13,Argentina
Whitney Bailey,2024-11-30,Armenia
Adrienne Waller,2025-01-20,Slovenia
George Hardy,2025-01-12,Saint Martin
Danielle Miller,2025-01-16,Algeria
Deborah Hill,2025-02-07,Isle of Man
Donald Norris,2024-12-12,Iraq
Alfred Benjamin,2025-01-08,Pitcairn Islands
Kathleen Gray,2024-12-15,Equatorial Guinea
Danielle Simmons,2024-12-08,Puerto Rico
Jerry Williams,2024-12-19,Estonia
James Griffin,2025-01-08,Georgia
Eric Sloan,2025-01-17,Marshall Islands
Pamela Cochran,2024-12-22,Egypt
William Davis PhD,2024-12-05,Sudan
Sarah Patrick,2025-01-05,Albania
Martin Elliott,2024-12-23,Egypt
Rebecca Barber,2024-11-23,New Caledonia
Joanne Farmer,2024-12-25,Palau
Robert Arellano,2024-11-28,Bahamas
David Cobb,2024-12-08,Georgia
Charles Smith,2025-01-03,Czech Republic
Patrick Thomas,2025-02-13,United States Minor Outlying Islands
Emily Wilson,2024-12-30,Algeria
Jason Zhang,2024-11-29,Burundi
Aaron Gomez,2024-12-09,United Arab Emirates
Sabrina Hunter,2025-02-17,Somalia
April Nicholson,2024-11-26,New Caledonia
David Hernandez,2025-02-05,Malawi
Katie Foley,2024-11-28,New Caledonia
Kevin Armstrong,2024-12-03,Moldova
Ryan Wang,2024-12-26,Swaziland
Shannon Gutierrez,2024-12-29,Martinique
Samuel Johnson,2024-12-03,Lithuania
Kelsey Johnson,2024-11-25,Uzbekistan
Alison Ortega,2024-12-16,Slovenia
Austin Escobar,2024-12-15,Cambodia
Dominique Simmons,2025-01-01,Bhutan
Justin Garcia,2024-11-26,Djibouti
Curtis Phillips,2025-02-12,Jordan
Eileen Stephenson,2025-01-01,Mayotte
Cheryl Dickerson,2025-02-09,Swaziland
Chad Gamble,2025-01-07,Tuvalu
Christina Johnson,2024-11-27,Saint Martin
Philip Daniels,2025-01-17,Vietnam
Daniel Brown,2025-02-04,United States Minor Outlying Islands
Gloria Coleman,2024-12-17,Bouvet Island (Bouvetoya)
William Wilkins,2025-01-04,Lithuania
Jennifer Kelly,2025-01-25,Nigeria
Scott Hawkins,2024-12-21,Estonia
Alison Ryan,2024-12-08,Armenia
Michael Ford,2024-12-19,Tonga
Melissa Morgan,2025-01-01,Libyan Arab Jamahiriya
Patrick Edwards,2024-12-09,Bulgaria
Nancy Shepherd,2025-01-07,Central African Republic
Katie Dorsey,2024-12-12,Korea
Stacy Brewer,2025-02-14,Christmas Island
Ronald Bird,2025-01-10,French Polynesia
Anita Douglas,2024-12-11,Cyprus
Lisa Nixon,2024-12-14,Uzbekistan
Morgan Allen,2024-12-19,Costa Rica
Danielle Herring,2024-12-21,Canada
Alexander Lewis,2025-01-27,Jersey
Robert Williamson,2025-01-28,Aruba
Catherine Galvan,2025-01-21,Peru
Ruth Diaz,2025-02-19,Austria
Benjamin Reese,2024-12-27,Iceland
Crystal Vasquez,2024-12-02,United States Minor Outlying Islands
Vanessa Mullins,2025-02-19,Myanmar
Joseph Cunningham,2024-12-15,Colombia
Sarah Long,2024-12-20,Antigua and Barbuda
Amanda Hawkins,2025-01-20,Tuvalu
April Keller,2025-01-22,United States Virgin Islands
Deborah Owens,2025-01-11,Hong Kong
Crystal Taylor,2024-12-29,Tokelau
Margaret Mcdonald,2025-01-20,Congo
Dana Lewis,2025-02-09,Liberia
Steven Lane,2025-01-09,British Indian Ocean Territory (Chagos Archipelago)
Sabrina Fernandez,2025-01-26,Iceland
Scott Coleman,2025-01-06,Kiribati
Michael Parsons,2024-11-26,Turkmenistan
Donna Smith,2025-02-17,Turkmenistan
Bradley Owens,2025-01-16,Cocos (Keeling) Islands
David Lewis,2025-01-15,Taiwan
Daniel Williams,2024-12-30,Macao
William Hart,2025-01-10,Palestinian Territory
Danny Delacruz,2025-01-25,Korea
Melinda Thompson,2025-02-17,Armenia
Michael Ross,2025-02-12,Bouvet Island (Bouvetoya)
Andrea Dyer,2025-02-10,Mozambique
Mr. Nicholas Smith,2025-01-23,French Polynesia
Nicholas Monroe,2025-01-26,Congo
Holly Hodges,2024-12-13,China
Jenny Singh,2025-01-29,Congo
Susan Henry,2024-12-19,Czech Republic
Derek Rodriguez,2024-12-19,Mozambique
Taylor Lewis,2025-02-15,Somalia
Autumn Phillips,2025-01-28,Greece
Debra Thompson,2024-12-04,Hong Kong
Brian Flores,2024-12-23,Nauru
Madeline Estrada,2024-11-30,Western Sahara
Rachel Clark,2025-02-04,Sudan
Brandon Ali,2024-11-28,French Polynesia
Amanda Bowman,2024-11-27,Sao Tome and Principe
Danielle Smith,2025-02-09,Gabon
Tiffany Harris,2025-02-11,Nepal
Diana Ryan,2025-01-02,Anguilla
Krystal Brown,2024-12-24,Guam
Jessica Watson,2024-12-14,Azerbaijan
Jane Bartlett,2024-12-03,Congo
Jeffrey Kelly,2025-01-09,Bhutan
Caroline Brown,2025-02-03,Bermuda
Brian Rowland,2025-01-28,Afghanistan
Jacqueline Mcgee,2025-01-23,Latvia
James Cohen,2025-02-08,Myanmar
Bryan Ponce,2025-01-01,Marshall Islands
Lauren Rivera,2025-01-29,Angola
Miranda Wong,2024-12-01,Martinique
Darryl Bridges,2025-02-04,Russian Federation
Robin Savage,2024-12-08,Finland
William Baker,2024-12-11,Iran
James Cox,2024-12-29,Greenland
Ashley Rodriguez,2025-01-07,San Marino
Gregory Perez,2025-02-01,Sri Lanka
Devin Long,2024-12-17,Suriname
Jennifer Davis,2025-02-17,Wallis and Futuna
Chad Contreras,2025-02-07,Zambia
Michael Klein,2025-01-27,Congo
Jason Thompson,2024-12-09,Western Sahara
Brandon Brown,2024-12-20,Ghana
Lauren West,2024-12-28,Liberia
Cathy Lewis,2025-01-15,Saint Martin
Lisa Richards,2024-11-25,Korea
Alyssa Wilson,2025-01-31,Sierra Leone
Jacob Parrish,2024-12-31,Lesotho
Laura Reid,2025-01-10,Burkina Faso
Miranda Owens,2024-11-27,Uganda
Evelyn Mooney,2025-01-15,Vanuatu
Michelle Coffey,2025-01-17,Vanuatu
Haley Johnson,2025-01-08,North Macedonia
Lynn Brown,2024-12-28,Ethiopia
Danny Cox,2025-01-12,Croatia
Jesse Shelton,2024-12-15,Bulgaria
Matthew Wells,2025-01-02,Libyan Arab Jamahiriya
Michelle Martin,2025-01-27,United Kingdom
Monica Becker,2024-12-17,Namibia
Christopher Aguirre,2025-01-11,Congo
Michael Goodwin,2025-02-06,Svalbard & Jan Mayen Islands
Brandon Gonzalez,2025-01-13,Mayotte
April Diaz,2025-01-08,Peru
Cheryl Martinez,2025-01-21,Israel
Timothy Lee,2025-01-10,Bangladesh
Vanessa Leon,2025-02-02,Guam
Matthew Moore,2025-02-15,Lesotho
Eric Pruitt,2025-02-18,Uruguay
Daniel Martin,2025-01-16,Tokelau
Annette Adams,2025-02-10,Belize
Michael Hall,2024-12-16,Saint Lucia
Roy Alexander,2025-01-18,Jamaica
Michelle Diaz,2025-01-10,Peru
Samantha Daniels,2025-01-26,Armenia
Mr. Daniel Reyes,2025-01-09,Senegal
Molly Anderson,2025-01-06,Venezuela
Karen Watkins,2024-11-29,Indonesia
Julia Smith,2025-01-30,Anguilla
Robert Rowe,2025-01-03,United Arab Emirates
Tony Holmes,2025-02-01,Lao People's Democratic Republic
Brooke Jennings,2025-02-17,Iran
David Becker MD,2025-02-16,Libyan Arab Jamahiriya
Amanda Kennedy,2024-12-24,Svalbard & Jan Mayen Islands
Daniel Anderson,2025-02-10,Saint Barthelemy
Dr. Ryan Byrd,2024-11-23,Montserrat
Roger Durham,2025-02-11,Antigua and Barbuda
Danielle Gardner,2024-12-15,Anguilla
Jerry Boyd,2025-02-15,Ghana
Lori Lewis,2025-01-06,Sudan
Chelsea Wilson,2025-02-05,Dominican Republic
Shelly Wolf,2025-02-13,Montserrat
Anita Pitts,2024-12-28,Sao Tome and Principe
Andrea Silva,2025-01-29,United Arab Emirates
Benjamin Avila,2024-12-24,Trinidad and Tobago
Tammy Banks,2025-01-01,Cocos (Keeling) Islands
Charles Green,2024-12-29,Norway
Jasmine Fox,2024-12-08,Mexico
Brooke Travis,2024-12-16,Reunion
Patricia Benson DVM,2025-01-13,Faroe Islands
Taylor May,2025-02-12,Peru
Brandi Shepard,2025-02-08,Croatia
Dr. Jesus Oneal,2025-02-03,Greece
Mary Howard,2024-12-07,Syrian Arab Republic
Melissa Williams,2025-02-01,Christmas Island
Stephen Hernandez,2024-12-26,Niger
Caitlin White MD,2025-01-20,Palestinian Territory
Kelly Nguyen,2024-12-13,Montenegro
Tiffany Edwards,2024-12-31,Austria
Derek Bailey,2024-11-23,Western Sahara
Valerie Garcia,2025-01-30,Barbados
Garrett Boone,2025-01-04,Monaco
Jennifer Hall,2024-12-24,Tajikistan
Jacob Cabrera,2024-12-09,Bahamas
Richard Jones,2025-02-16,United States of America
David James,2024-12-08,United States Virgin Islands
Lori Bell,2024-12-17,Zambia
Kimberly Hutchinson DDS,2024-12-25,Aruba
Ryan Martin,2025-01-06,Congo
Ashley Flores,2025-01-25,Timor-Leste
Colleen Carlson,2025-01-31,Mongolia
Kristi Washington,2024-12-04,Fiji
Danielle Martinez,2025-02-06,Monaco
Madison Harris,2024-12-03,Jordan
Erica Choi,2024-12-08,Marshall Islands
Sarah Fisher,2024-11-25,Turkey
Michelle Brown,2024-12-13,Vietnam
Nancy Steele,2025-02-03,Puerto Rico
Kevin Jackson,2024-12-20,Saint Helena
Edward Brown,2024-12-12,Swaziland
Carlos Sanchez,2025-02-15,Timor-Leste
Dana Taylor,2024-12-19,Sierra Leone
Brittany Kelly,2025-01-04,Trinidad and Tobago
Michael Massey,2025-01-22,Lesotho
Jasmine Johnson,2024-11-27,Isle of Man
Dr. Mary Fuentes DVM,2025-01-16,Tokelau
Gabriel Carter,2025-01-13,Brunei Darussalam
Stephanie Davis,2024-12-30,Jordan
Robert Munoz,2025-01-24,Greenland
Robert Shannon,2024-12-23,Guyana
Tara Nichols,2025-01-07,Nauru
Anthony Robinson,2025-02-12,Fiji
David Williams,2024-12-04,French Southern Territories
Tamara Cook,2024-12-20,Austria
Dana Wolf,2025-01-18,Iceland
Sydney Nguyen,2025-01-04,United Kingdom
Lauren Bender,2025-02-08,Mozambique
Nicholas Thomas,2024-11-24,Austria
Joyce Vasquez,2024-12-23,Pitcairn Islands
Cody Oliver,2025-01-27,French Guiana
Anthony Baker,2025-01-22,Central African Republic
Patricia Lyons,2025-01-24,Bulgaria
Cynthia Baker,2025-01-07,Egypt
Jamie Perez,2024-12-15,Algeria
Carrie Carter,2025-01-13,Malta
Patricia Lee,2024-12-15,Italy
Kelly Washington,2024-12-10,Paraguay
Brian Bryan,2025-01-05,Uganda
Amy Hanson,2025-01-17,Albania
Richard Wiggins,2024-12-23,Qatar
Courtney Riley,2024-12-23,Ethiopia
Mark Herrera,2024-12-20,Saint Martin
Ray Ward,2024-12-08,Georgia
Sara Miller,2025-02-17,Brazil
James Peters,2024-12-20,Mexico
Tyler Bowman,2025-02-02,Tajikistan
Michael Harrison,2025-02-13,Iceland
Michael Murphy,2025-01-11,Isle of Man
Dawn Ford,2025-01-23,Malaysia
April Jarvis,2025-01-05,Kazakhstan
Gina Warren,2025-01-10,Venezuela
Robert Glover,2025-01-14,Afghanistan
Nicole Adams MD,2025-02-11,Niue
Monica Owens,2025-02-19,Finland
Kevin Wilson,2025-01-06,Rwanda
Jennifer Gray,2025-01-17,Venezuela
Carrie Scott,2024-11-29,Botswana
Mr. Brett Durham,2025-02-16,Oman
Laurie Rivera,2025-01-15,Poland
Rick Park,2025-01-07,Colombia
Alec Gardner,2024-12-20,Barbados
Jerry Hart,2025-01-31,Chile
Kimberly Powell,2025-01-16,France
Vincent Lee MD,2025-01-29,Bahamas
Eric Sandoval,2025-01-06,Armenia
Lisa Jackson,2025-01-29,Honduras
Vanessa Diaz,2025-02-06,Albania
Carol Riley,2024-12-07,India
William Pitts,2024-11-30,Guadeloupe
Stephanie Pace,2024-12-02,Tonga
Victoria Dunn,2025-01-28,Mauritius
Anna Brady,2025-02-09,United States Virgin Islands
Paul Cisneros,2025-01-06,Ghana
Martha Gross,2025-01-17,Indonesia
Robert Silva,2024-12-06,North Macedonia
Joshua Reed,2024-12-06,Gambia
Nicole Lawson,2025-02-16,Madagascar
Ricky Bentley,2025-01-22,Myanmar
Robert Rivers,2025-01-18,Brazil
William Parker,2024-12-24,Japan
Erin Mendoza,2024-12-26,Cuba
Thomas Rose,2025-01-06,Isle of Man
Ricky Gallegos,2025-02-01,Suriname
Jacob Robinson,2024-12-14,Korea
Megan Mueller,2025-01-24,Sao Tome and Principe
Elizabeth Hernandez,2024-12-14,Finland
Philip Conley,2024-12-04,Guernsey
Sandra Chan,2024-11-23,Heard Island and McDonald Islands
Jodi Johnson,2024-11-24,Germany
Craig Espinoza,2024-12-25,Central African Republic
Jennifer Hill DVM,2024-12-21,Netherlands
Gerald Wheeler,2024-12-24,Marshall Islands
Michael Nguyen,2024-12-31,Samoa
Kathleen Lam,2025-01-11,Somalia
Donald Lopez,2024-12-28,Niue
Todd Castro,2024-12-20,Faroe Islands
Amy Potter,2024-12-27,Netherlands Antilles
David Boone,2025-01-04,Libyan Arab Jamahiriya
Michelle Brown,2024-12-04,Montenegro
Anna Shannon,2025-01-01,Iraq
Mr. Daniel Orozco DDS,2024-12-25,Argentina
Mark Norton,2024-12-04,Antarctica (the territory South of 60 deg S)
Leslie Howell,2024-12-22,Sri Lanka
Logan Tucker,2025-02-14,United States of America
Jose Sandoval,2024-12-09,Sao Tome and Principe
Laura Barnes,2025-01-28,Belarus
Teresa Bennett,2025-01-10,Nigeria
Michele Horton,2025-01-04,Samoa
Michael Richardson,2024-12-14,Malta
Joseph Rojas,2025-01-19,Uganda
Joseph Beck,2025-01-02,Svalbard & Jan Mayen Islands
Jennifer Warner,2024-11-26,Oman
Shirley Mitchell,2025-01-06,Seychelles
Ryan Perez,2024-12-21,Thailand
Derek Johns,2024-12-31,Russian Federation
David George,2024-12-25,Sweden
Wayne Bryant,2025-01-08,Myanmar
Joseph Thomas,2025-02-11,Greece
Jessica Martin,2024-12-03,United States Minor Outlying Islands
Stacy Delgado,2025-01-22,Heard Island and McDonald Islands
William Thomas,2025-01-23,Uzbekistan
Joseph Meadows,2024-12-14,Palau
Joel Sanchez,2024-12-14,Antarctica (the territory South of 60 deg S)
Kimberly Edwards,2024-11-22,French Polynesia
Molly Torres,2025-02-03,Tonga
Mr. David Shaw,2025-01-17,New Caledonia
Phillip Bishop,2025-02-15,South Georgia and the South Sandwich Islands
Kevin Leon,2024-11-29,Anguilla
Amy Le,2025-02-03,Luxembourg
George Strong,2025-02-02,Saint Kitts and Nevis
Willie Washington,2025-02-07,Timor-Leste
Erin Lawson,2025-01-06,Slovakia (Slovak Republic)
Samuel Curtis V,2024-12-12,Namibia
Rachel David,2024-12-25,South Georgia and the South Sandwich Islands
Jonathan Ortiz,2024-12-07,Greenland
Kathleen Ortega,2025-01-17,Spain
Calvin Hull,2024-12-20,Tajikistan
Frank Reed,2024-12-07,Iran
Oscar Powell,2025-01-25,Belize
Casey Jones,2025-01-10,Niue
Roger Davila,2025-02-11,Iran
Jamie Chavez MD,2025-02-17,Peru
Matthew Baker,2024-12-20,Bahrain
Mario Wright,2024-12-16,Slovenia
Margaret Bender,2025-02-02,Jordan
Thomas Vincent,2025-02-07,Burundi
Ronald Freeman,2025-02-02,Chile
James Carey,2025-01-26,Hong Kong
Dr. Vanessa Cobb,2024-12-12,Cuba
Vincent Weaver,2025-02-11,Wallis and Futuna
Nathan Turner,2024-12-10,Saint Lucia
James Mckay,2025-01-06,British Virgin Islands
David Kelly,2025-01-23,Netherlands
Mary Taylor,2025-01-08,Ireland
John Aguilar,2025-02-01,United Arab Emirates
Marie Barron,2024-11-24,Uruguay
Jack Martin,2024-12-31,Gambia
Jennifer Cunningham,2025-01-23,Costa Rica
Jeffrey Patterson,2024-12-05,Barbados
Edward Jones,2024-12-11,Taiwan
Dominique Evans,2024-12-03,Poland
Miguel Jackson,2024-12-18,Luxembourg
Felicia Garza,2025-01-09,Nauru
Matthew Nunez,2025-01-24,Brunei Darussalam
Barbara Hernandez,2025-01-09,Kuwait
Barbara Grant,2025-01-23,Algeria
Mariah Payne,2025-02-07,Comoros
Tamara Whitehead,2025-01-10,Kuwait
Gregory Garcia,2025-02-09,Saudi Arabia
Michael Hernandez,2024-12-21,French Guiana
Shaun Frazier,2025-02-18,Peru
Meredith Matthews,2025-01-21,Cameroon
Debra Mann,2024-12-18,Aruba
Madison Reynolds,2024-12-09,Isle of Man
Charles Crawford,2025-02-12,Congo
Amanda Livingston,2024-12-18,Bermuda
Catherine Hill,2025-01-09,Mayotte
Lindsay Peterson,2025-01-24,Northern Mariana Islands
Frederick James,2025-02-19,Denmark
Vincent Downs,2025-02-05,Slovenia
Jasmine Smith,2025-02-09,Trinidad and Tobago
Jennifer Barton,2025-01-06,Dominica
